City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Florence,43.7667,11.25,44.6,70,75,4.61,IT,1613118452
Olafsvik,64.8945,-23.7142,37.51,77,62,23.2,IS,1613118525
Tevaitoa,-16.7833,-151.5,81.9,69,75,13.2,PF,1613118525
Castro,-24.7911,-50.0119,58.5,97,100,3.02,BR,1613118491
College,64.8569,-147.8028,8.01,78,75,3.18,US,1613118479
Petropavlovsk-Kamchatskiy,53.0452,158.6483,17.6,73,8,6.71,RU,1613118231
Santa Maria,-29.6842,-53.8069,64.54,90,100,2.59,BR,1613118426
Brigantine,39.4101,-74.3646,27.0,68,75,10.36,US,1613118526
San Francisco,37.7749,-122.4194,53.6,76,40,13.8,US,1613117883
Tayga,56.06,85.6197,-9.0,59,0,6.71,RU,1613118526
Sennar,13.5691,33.5672,91.33,17,0,7.18,SD,1613118526
Marawi,7.9986,124.2928,82.0,79,100,1.99,PH,1613118526
Kiruna,67.8557,20.2251,24.8,63,75,18.41,SE,1613118526
Isangel,-19.55,169.2667,80.24,77,99,4.54,VU,1613118526
Saint-Leu,-21.15,55.2833,87.8,58,0,31.07,RE,1613118527
Haines Junction,60.7522,-137.5108,-29.2,68,0,1.14,CA,1613118527
Talara,-4.5772,-81.2719,73.83,83,79,10.16,PE,1613118527
Nome,64.5011,-165.4064,17.6,86,90,28.77,US,1613118527
Flin Flon,54.7682,-101.865,-22.58,87,100,4.68,CA,1613118527
Bac Lieu,9.285,105.7244,80.44,69,25,14.38,VN,1613118527
Faanui,-16.4833,-151.75,81.32,70,4,7.96,PF,1613118527
Truth or Consequences,33.1284,-107.2528,44.6,31,1,6.91,US,1613118255
Calamar,10.2511,-74.9146,77.0,88,40,4.61,CO,1613118528
Leh,34.1667,77.5833,20.66,69,60,2.26,IN,1613118528
Cherdyn',60.403,56.4787,-4.05,88,89,2.82,RU,1613118528
Kavaratti,10.5669,72.642,82.11,56,42,4.68,IN,1613118528
Faya,18.3851,42.4509,68.0,37,0,5.75,SA,1613118528
Ayan,56.45,138.1667,13.55,96,44,1.54,RU,1613118528
Constitución,-35.3333,-72.4167,59.65,92,69,3.02,CL,1613118528
Hailey,43.5196,-114.3153,30.2,93,90,4.61,US,1613118528
Katsuura,35.1333,140.3,51.01,59,100,1.99,JP,1613118529
Lithgow,-33.4833,150.15,69.01,43,100,4.63,AU,1613118529
Hamilton,39.1834,-84.5333,21.2,73,90,6.91,US,1613118310
Port Hardy,50.6996,-127.4199,33.8,43,90,28.77,CA,1613118529
Krosno Odrzańskie,52.0549,15.0988,21.0,92,90,4.61,PL,1613118529
Deputatsky,69.3,139.9,-5.57,88,100,2.59,RU,1613118529
Pa Sang,18.5262,98.9394,91.0,30,20,3.44,TH,1613118530
Hay River,60.8156,-115.7999,-9.4,77,21,4.61,CA,1613118530
Risør,58.7206,9.2342,16.0,65,0,7.0,NO,1613118530
Taree,-31.9,152.4667,78.8,69,99,9.22,AU,1613118530
Sri Aman,1.2376,111.4621,86.0,74,40,5.75,MY,1613118530
Feni,23.0186,91.41,86.23,20,66,8.39,BD,1613118530
Flinders,-34.5833,150.8552,75.99,84,100,1.01,AU,1613118530
Dingle,10.9995,122.6711,82.72,79,79,4.23,PH,1613118530
Itoman,26.1247,127.6694,69.8,73,40,17.27,JP,1613118531
Bitkine,11.9801,18.2138,81.73,15,0,8.16,TD,1613118531
Pomoriany,49.6409,24.9307,5.45,93,100,18.68,UA,1613118531
Ozernovskiy,51.5,156.5167,27.43,93,100,5.08,RU,1613118531
Opuwo,-18.0607,13.84,68.77,75,99,6.73,NA,1613118531
Dali,25.7,100.1833,62.65,31,0,8.14,CN,1613118531
Yaring,6.8662,101.3689,87.8,66,20,11.5,TH,1613118531
Santo Antônio do Içá,-3.1022,-67.9397,73.18,94,100,2.42,BR,1613118532
Pangnirtung,66.1451,-65.7125,-14.66,83,88,1.25,CA,1613118532
Mlandizi,-6.7,38.7333,82.4,78,75,14.97,TZ,1613118532
Qaqortoq,60.7167,-46.0333,41.0,28,90,42.57,GL,1613118532
Bosobolo,4.1833,19.9,92.03,14,0,3.02,CD,1613118532
Staryy Nadym,65.6118,72.6842,-24.36,85,36,2.57,RU,1613118532
Bilma,18.6853,12.9164,71.82,20,0,12.53,NE,1613118533
Verāval,20.9,70.3667,82.17,29,0,8.37,IN,1613118533
Luang Prabang,19.8856,102.1347,87.8,33,20,2.3,LA,1613118533
Kalmar,56.6616,16.3616,17.01,85,0,8.05,SE,1613118533
Gīdam,18.9833,81.4,95.14,17,0,1.21,IN,1613118533
Mikhaylovka,50.06,43.2379,39.0,95,100,8.99,RU,1613118533
Çubuk,40.2386,33.0322,48.2,57,75,21.85,TR,1613118533
Milyutinskaya,48.6279,41.6679,48.36,74,100,17.72,RU,1613118534
Henties Bay,-22.116,14.2845,68.0,92,18,4.0,NA,1613118534
Los Altos Hills,37.3797,-122.1375,51.8,87,20,3.44,US,1613118534
Rovaniemi,66.5,25.7167,6.8,85,90,10.36,FI,1613118534
Rocha,-34.4833,-54.3333,68.34,93,100,9.95,UY,1613118386
Itaituba,-4.2761,-55.9836,72.68,98,100,0.76,BR,1613118534
Ferme-Neuve,46.7001,-75.4493,-11.2,70,49,3.44,CA,1613118535
Acapulco de Juárez,16.8634,-99.8901,71.2,81,10,4.59,MX,1613118305
Alma,48.5501,-71.6491,1.4,78,100,11.5,CA,1613118239
Vicksburg,32.3526,-90.8779,33.8,100,90,11.5,US,1613118535
Arman',59.7,150.1667,13.41,89,19,3.78,RU,1613118535
Manokwari,-0.8667,134.0833,81.91,82,87,9.15,ID,1613118535
Le Port,-20.9373,55.2919,87.8,55,22,21.85,RE,1613118535
Pervomayskoye,43.919,46.7102,53.94,53,16,15.5,RU,1613118536
High Level,58.5169,-117.136,-11.2,84,90,2.3,CA,1613118536
Sorrento,40.626,14.3744,55.0,82,40,6.91,IT,1613118536
Berbera,10.4396,45.0143,79.34,47,8,6.76,SO,1613118537
Kem',64.9555,34.5793,-7.62,91,2,3.98,RU,1613118537
Green River,41.5286,-109.4662,28.4,86,90,6.91,US,1613118537
Samaná,19.2056,-69.3369,73.29,86,71,10.42,DO,1613118537
Dekar,-21.5333,21.9333,68.2,86,100,6.89,BW,1613118537
Zyryanka,65.75,150.85,-25.38,87,52,1.3,RU,1613118537
Córdoba,-31.4135,-64.1811,68.0,94,0,4.61,AR,1613118537
Tilichiki,60.4667,166.1,-22.74,82,0,11.7,RU,1613118537
Juchitlán,20.0833,-104.1167,51.66,79,0,0.51,MX,1613118538
Mehamn,71.0357,27.8492,19.4,68,0,11.5,NO,1613118538
Chimbote,-9.0853,-78.5783,71.44,75,92,4.29,PE,1613118538
Montrose,38.4166,-108.2673,41.0,57,100,1.01,US,1613118538
Pacifica,37.6138,-122.4869,53.01,87,90,11.5,US,1613118538
Mount Isa,-20.7333,139.5,95.0,38,40,9.22,AU,1613118538
Lázaro Cárdenas,17.9583,-102.2,70.47,85,95,4.16,MX,1613118539
Fortuna,40.5982,-124.1573,46.99,100,90,4.45,US,1613118539
Makīnsk,52.6292,70.4169,5.86,93,84,6.13,KZ,1613118539
Sorong,-0.8833,131.25,85.42,72,100,4.81,ID,1613118539
Lagoa,39.05,-27.9833,58.95,77,74,21.63,PT,1613118539
